Median,Mean,Range,Variance,1st Quartile,3rd Quartile,Standard Deviation
All Ages,2581.0,4656.962264150943,32594.0,36903662.3759345,1035.0,5429.0,6074.838465007485
Under 1 year,0.0,0.0,nan,0.0,0.0,0.0,0.0
0-17 years,0.0,0.0,nan,0.0,0.0,0.0,0.0
1-4 years,0.0,0.0,nan,0.0,0.0,0.0,0.0
5-14 years,0.0,0.0,nan,0.0,0.0,0.0,0.0
15-24 years,0.0,9.9375,nan,244.68359375,0.0,14.5,15.642365350227568
18-29 years,19.0,28.208333333333332,nan,1044.748263888889,12.5,29.5,32.322565861776646
25-34 years,23.0,42.21212121212121,nan,3066.288337924701,13.0,45.0,55.37407640696774
30-39 years,26.5,60.525,nan,8011.649375000001,18.5,59.25,89.50781739602414
35-44 years,52.0,99.575,nan,23181.494374999995,31.0,86.0,152.25470230833594
40-49 years,75.0,157.22222222222223,nan,64881.99506172841,36.0,149.0,254.7194438234514
45-54 years,133.0,258.40425531914894,nan,165393.4323223178,63.5,269.0,406.68591360203
50-64 years,398.0,765.6730769230769,nan,1383282.7969674557,145.25,814.75,1176.1304336541316
55-64 years,326.0,631.4313725490196,nan,887083.7747020379,118.5,721.0,941.8512487128941
65-74 years,657.0,1134.75,nan,2223040.456730769,244.75,1314.75,1490.986403938939
75-84 years,790.0,1353.433962264151,8454.0,2774298.3588465643,276.0,1739.0,1665.6225139108094
85 years and over,762.0,1242.0566037735848,7777.0,2230456.279814881,255.0,1564.0,1493.471218274688
